well_id,lat,lon,district,taluka,specific_yield,sy_source,village,aquifer_type,well_depth,n_observations,first_obs,last_obs
MHf82d6e311e,17.7528,74.0514,Satara,Satara,0.02,district_modal,Vaduth,Unconfined,6.69,78,2000-01-15,2023-05-15
MH37a975ab15,17.3892,74.1156,Satara,Karad,0.02,district_modal,Varade,Unconfined,20.1,76,2000-01-15,2023-05-15
MHe89f32e047,17.4833,73.9819,Satara,Patan,0.02,district_modal,Velkhandwadi (Tarli),Unconfined,9.2,76,2000-01-15,2023-05-15
MH55ba005c9e,17.95,73.9,Satara,Wai,0.02,measured,Wai,Unconfined,6.7,81,2000-01-15,2023-05-15
MH6d4e896222,17.9,74.1333,Satara,Koregaon,0.02,district_modal,Wathar (Station),Unconfined,20.0,76,2000-01-15,2022-11-15
MH19ab079f93,17.1222,74.0292,Satara,Karad,0.02,district_modal,Yelegaon,Semi-confined,84.0,58,2000-05-15,2023-05-15
MH85b637fb0a,16.2333,73.4667,Sindudurg,Malwan,0.023,measured,Achra,Unconfined,19.25,82,2000-01-15,2023-05-15
MH1d9278f03d,15.775,73.9333,Sindudurg,Sawantwadi,0.023,district_modal,Adali (Dewalwadi),Unconfined,17.0,78,2000-01-15,2023-05-15
MHb59f11fe34,15.9,73.7333,Sindudurg,Vengurla,0.023,measured,Adeli (Bomderwadi),Unconfined,9.0,80,2000-01-15,2023-05-15
MH929b98cd92,15.95,74.0028,Sindudurg,Sawantwadi,0.023,district_modal,Amboli,-,6.05,50,2000-01-15,2014-08-15
MH556b2cc60b,16.1886,73.7333,Sindudurg,Kudal,0.023,district_modal,Ambrad (Parabwadi),Semi-confined,84.0,46,2005-05-15,2023-05-15
MHf94ecb4114,16.0111,73.5861,Sindudurg,Kudal,0.023,district_modal,Chendwan,Unconfined,9.0,73,2000-01-15,2023-05-15
MH3d748e528b,15.9333,73.9333,Sindudurg,Sawantwadi,0.018,measured,Danoli,Unconfined,5.45,85,2000-01-15,2023-05-15
MHa4bfc7cc14,15.6667,73.9667,Sindudurg,Sawantwadi,0.018,measured,Dodamarga,Unconfined,10.2,84,2000-01-15,2023-05-15
MHc3ff99783f,16.1375,73.4706,Sindudurg,Malwan,0.023,measured,Hadi (Gaonkarwadi),Unconfined,14.64,81,2000-01-15,2023-05-15
MHee7ff2e4fc,15.8667,73.8333,Sindudurg,Sawantwadi,0.023,measured,Insuli,Unconfined,14.5,83,2000-01-15,2023-05-15
MH9d7e774bf3,16.2278,73.8083,Sindudurg,Kankavli,0.018,measured,Kanedi Bazar,Unconfined,9.0,80,2000-01-15,2023-05-15
MHebac9c3eb3,16.2639,73.7142,Sindudurg,Kankavli,0.023,district_modal,Kankavalli,-,10.2,63,2000-01-15,2018-05-15
MH81ec71a905,16.15,73.6833,Sindudurg,Kudal,0.023,district_modal,Kasal,Unconfined,14.5,72,2000-01-15,2022-11-15
MHed735d0729,16.55,73.6167,Sindudurg,Kankavli,0.023,district_modal,Khare Patan,Unconfined,10.53,84,2000-01-15,2023-05-15
MHbb9e2011b8,16.4819,73.7236,Sindudurg,Vaibhavvadi,0.023,district_modal,Kokisare,-,10.0,46,2000-01-15,2014-05-15
MHebe801f21f,16.0211,73.6903,Sindudurg,Kudal,0.023,measured,Kudal,Unconfined,11.0,85,2000-01-15,2023-05-15
MH05fe3debb3,16.0883,73.5792,Sindudurg,Malwan,0.023,measured,Kunkaule,Unconfined,8.37,84,2000-01-15,2023-05-15
MHa25c77669b,16.0611,73.4583,Sindudurg,Malwan,0.023,measured,Malwan,Unconfined,11.94,83,2000-01-15,2023-05-15
MH6d8a970901,15.9772,73.7856,Sindudurg,Kudal,0.023,measured,Mangaon Bazar,Unconfined,7.8,85,2000-01-15,2023-05-15
MH804bade995,15.8986,73.6806,Sindudurg,Vengurla,0.023,district_modal,Math,-,9.0,57,2000-01-15,2017-11-15
MH1c4e8334f2,15.8278,73.7486,Sindudurg,Vengurla,0.023,measured,Matond (Ghodemukh),Unconfined,6.0,79,2000-01-15,2023-05-15
MHaa23551706,16.3778,73.6875,Sindudurg,Kankavli,0.02,measured,Nandgaon,Unconfined,10.58,83,2000-01-15,2023-05-15
MH512c3f9f6a,16.3,73.45,Sindudurg,Devgad,0.023,measured,Narange,Unconfined,13.0,82,2000-01-15,2023-05-15
MH14d898c286,16.2422,73.5422,Sindudurg,Malwan,0.023,measured,Palsamb,Unconfined,8.0,82,2000-01-15,2023-05-15
MH4beb7531bb,16.4861,73.595,Sindudurg,Devgad,0.023,district_modal,Phanasgaon,-,14.2,70,2000-01-15,2019-08-15
MH23c2a329f6,16.3667,73.8,Sindudurg,Kankavli,0.023,district_modal,Phonda,Unconfined,10.14,83,2000-01-15,2023-05-15
MH9a59dc45b4,16.2417,73.6,Sindudurg,Malwan,0.023,measured,Ramgarh,Unconfined,5.1,83,2000-01-15,2023-05-15
MH9b700b974d,15.9094,73.8264,Sindudurg,Sawantwadi,0.023,district_modal,Sawanthwadi,Unconfined,6.0,74,2000-01-15,2023-05-15
MHc995c7ea31,16.0889,73.6389,Sindudurg,Malwan,0.023,measured,Sawarwad,Unconfined,7.0,84,2000-01-15,2023-05-15
MHc4b7b94c89,16.3833,73.5833,Sindudurg,Devgad,0.023,measured,Shirgaon (Shirgar),Unconfined,4.85,84,2000-01-15,2023-05-15
MH2801c864b0,16.45,73.6667,Sindudurg,Kankavli,0.023,measured,Terela,Unconfined,14.1,82,2000-01-15,2023-05-15
MHa95c24b58d,16.0028,73.825,Sindudurg,Kudal,0.023,measured,Vados,Unconfined,6.0,80,2000-01-15,2023-05-15
MH917d5afcc3,16.4833,73.4167,Sindudurg,Devgad,0.023,measured,Vagothan,Unconfined,20.0,81,2000-01-15,2023-05-15
MH24a4ea81cc,15.85,73.65,Sindudurg,Vengurla,0.023,measured,Vengurla,Unconfined,8.95,84,2000-01-15,2023-05-15
MH7895f1f2ee,16.5489,73.3308,Sindudurg,Devgad,0.023,measured,Vijayadurga,Unconfined,9.5,81,2000-01-15,2023-05-15
MHe0edb10e64,16.3903,73.5222,Sindudurg,Devgad,0.023,measured,Wareri,Unconfined,19.64,83,2000-01-15,2023-05-15
MH5d946c2a69,15.9333,73.75,Sindudurg,Kudal,0.023,measured,Zarap,Unconfined,8.69,82,2000-01-15,2023-05-15
MH7f905d2572,17.7333,75.3333,Solapur,Pandharpur,0.02,nearest_well,Ajoti,Unconfined,13.0,80,2000-01-15,2023-01-15
MH87fc287d46,17.5333,76.2,Solapur,Akkalkot,0.02,nearest_well,Akkalkot,Unconfined,11.57,80,2000-01-15,2023-01-15
MHcaec0837f5,18.2333,75.7,Solapur,Barshi,0.02,nearest_well,Barshi Town,Unconfined,14.0,75,2000-01-15,2023-05-15
MHa20889708e,17.7167,75.2167,Solapur,Pandharpur,0.02,nearest_well,Bhandi-Shegaon,Unconfined,13.05,80,2000-01-15,2023-01-15
MH642508b7be,18.2167,75.4,Solapur,Madha,0.02,nearest_well,Bitergaon Haveli,Unconfined,9.0,55,2005-01-15,2023-01-15
MH0538ab29e3,18.2333,75.4,Solapur,Madha,0.02,nearest_well,,-,85.0,44,2000-01-15,2015-05-15
MH48481f8eff,17.65,75.4167,Solapur,Pandharpur,0.02,nearest_well,Chale,-,12.0,51,2000-01-15,2014-11-15
MH80187324c2,17.6,76.05,Solapur,Solapur South,0.02,nearest_well,Chincholi,Unconfined,14.0,83,2000-01-15,2023-01-15
MHec68d06749,18.3167,75.7833,Solapur,Barshi,0.02,nearest_well,Dhanore,Unconfined,10.85,79,2000-01-15,2023-05-15
MH6919c848e8,17.9333,74.6833,Solapur,Malshiras,0.02,nearest_well,Dharmapuri,Unconfined,9.0,80,2000-01-15,2023-05-15
MH5b4986498a,17.5333,75.3833,Solapur,Mangalvedhe,0.02,nearest_well,Eklaspur,Unconfined,14.0,80,2000-01-15,2023-05-15
MHc792d652f6,17.8417,75.5375,Solapur,Mohol,0.02,nearest_well,Hivre,Unconfined,17.0,78,2000-01-15,2023-05-15
MHdf7d490592,17.6,75.6,Solapur,Mohol,0.02,nearest_well,Ichgaon,Unconfined,24.0,80,2000-01-15,2023-05-15
MH300bf800ac,18.2583,75.1667,Solapur,Karmala,0.02,nearest_well,Jeur,Unconfined,9.0,74,2000-01-15,2023-01-15
MH192fede3a8,17.2375,75.0028,Solapur,Sangole,0.02,nearest_well,Junoni,Unconfined,10.5,71,2000-01-15,2022-11-15
MH194528ae0c,18.1333,75.2,Solapur,Karmala,0.02,nearest_well,Kandar,Unconfined,7.75,79,2000-01-15,2023-05-15
MH8ba55f1748,18.4,75.2,Solapur,Karmala,0.02,nearest_well,Karmala,Unconfined,10.9,75,2000-01-15,2022-08-15
MH46b63c24f9,17.7167,75.85,Solapur,Solapur North,0.02,nearest_well,Kegaon,Unconfined,9.03,71,2000-01-15,2023-05-15
MH2fdba9d2c7,17.6083,75.1,Solapur,Sangole,0.02,nearest_well,Mahud (Bk),-,7.95,54,2000-01-15,2015-01-15
MH1e38a8d70c,17.8667,74.9,Solapur,Malshiras,0.02,nearest_well,Malsiras,Unconfined,13.0,76,2000-01-15,2023-01-15
MHdfccdf554d,18.0778,75.7875,Solapur,Barshi,0.02,nearest_well,Manegaon,Unconfined,15.11,81,2000-01-15,2023-05-15
MHa14782292d,17.5167,75.45,Solapur,Mangalvedhe,0.02,nearest_well,Mangalvedha,Unconfined,21.9,78,2000-01-15,2023-01-15
MH2007b4d07c,17.4306,75.5139,Solapur,Mangalvedhe,0.02,nearest_well,Marwade,Unconfined,13.0,81,2000-01-15,2023-01-15
MH43c9bc99f2,17.15,74.95,Solapur,Sangole,0.02,nearest_well,Nagaj,Unconfined,12.0,63,2000-01-15,2023-05-15
MH8bd3cd75dd,17.4167,76.1667,Solapur,Akkalkot,0.02,nearest_well,Nagansur,Unconfined,14.0,81,2000-01-15,2023-01-15
MH7481951e0e,17.4569,75.8528,Solapur,Solapur South,0.02,nearest_well,Nandni,Unconfined,8.0,76,2000-01-15,2023-05-15
MH4ed0e44b6c,17.8347,75.8514,Solapur,Solapur North,0.02,nearest_well,Nannaj,Unconfined,14.0,75,2000-01-15,2023-05-15
MHfb4e8cbd14,17.7333,75.4333,Solapur,Pandharpur,0.02,nearest_well,Narayan Chincholi,Unconfined,6.5,77,2000-01-15,2023-05-15
MH4d3f1b3894,18.1958,75.8875,Solapur,Barshi,0.02,nearest_well,Nari,Unconfined,12.1,75,2000-01-15,2023-05-15
MHaea088921c,17.675,75.325,Solapur,Pandharpur,0.02,nearest_well,Pandharpur,Unconfined,11.43,78,2000-01-15,2023-05-15
MH2ce982ce4a,18.3,75.8667,Solapur,Barshi,0.02,nearest_well,Pangri,Unconfined,9.2,71,2000-01-15,2023-05-15
MH12d925b334,17.9542,75.2672,Solapur,Madha,0.02,nearest_well,Parite,Unconfined,12.4,76,2000-01-15,2023-05-15
MHfe90316b29,17.6819,74.9669,Solapur,Malshiras,0.02,nearest_well,Piliv,Unconfined,9.7,77,2000-01-15,2023-01-15
MH9dc5a5a933,17.3375,75.5222,Solapur,Mangalvedhe,0.02,nearest_well,Pout,Unconfined,9.0,54,2000-01-15,2023-01-15
MH6c8958331a,17.6167,75.4,Solapur,Pandharpur,0.02,nearest_well,Ranzani,Unconfined,7.83,78,2000-01-15,2023-05-15
MH88f274dba3,17.7833,75.4,Solapur,Pandharpur,0.02,nearest_well,Rople,Unconfined,22.0,76,2000-01-15,2023-05-15
MH48d99de646,17.6944,75.0417,Solapur,Malshiras,0.02,nearest_well,Salmukh,Unconfined,8.05,81,2000-01-15,2023-01-15
MH16f466f2b4,17.45,75.2,Solapur,Sangole,0.02,nearest_well,Sangola,Unconfined,14.0,82,2000-01-15,2023-05-15
MHf82d073c07,17.9667,75.8333,Solapur,Barshi,0.02,nearest_well,Shelgaon,Unconfined,16.8,76,2000-01-15,2023-05-15
MH81aabd82c4,17.9125,75.4333,Solapur,Mohol,0.02,nearest_well,Shetphal,Semi-confined,50.0,53,2000-05-15,2022-11-15
MHe7d8a6d90f,17.5167,75.1333,Solapur,Sangole,0.02,nearest_well,Shivni,Unconfined,6.5,67,2000-01-15,2023-01-15
